file,dt,tz,model,lat,lon,alt,dir,w,h,focal,eq35,zoom,lens
IMG_3516.HEIC,2026:09:21 10:07:08,-04:00,iPhone 17,40.214736111111115,-74.0126638888889,4.745174444947893,96.74767204178968,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3517.HEIC,2026:09:21 10:07:12,-04:00,iPhone 17,40.214725,-74.01263333333333,3.998195738040669,71.74710080285459,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3518.HEIC,2026:09:21 10:07:14,-04:00,iPhone 17,40.21473055555556,-74.01264166666667,3.998195681275828,53.62884518406455,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3519.HEIC,2026:09:21 10:07:18,-04:00,iPhone 17,40.21473055555556,-74.01263333333333,5.089412720991668,185.7890625,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3520.HEIC,2026:09:21 10:07:39,-04:00,iPhone 17,40.21455,-74.0128111111111,7.794553788083041,46.86056519868025,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3521.HEIC,2026:09:21 10:07:40,-04:00,iPhone 17,40.21455,-74.01281666666667,7.704885523706508,66.8375854214123,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3522.HEIC,2026:09:21 10:08:16,-04:00,iPhone 17,40.21451944444445,-74.01248055555556,3.567989347536618,45.614871974745704,3024,4032,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3523.HEIC,2026:09:21 10:08:18,-04:00,iPhone 17,40.21451944444445,-74.01248888888888,3.2090110767388484,54.761291526689064,4032,3024,5.960000038146973,52,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3524.HEIC,2026:09:21 10:08:59,-04:00,iPhone 17,40.21446111111111,-74.01179444444445,4.297451052826006,32.60543824124964,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3525.HEIC,2026:09:21 10:09:48,-04:00,iPhone 17,40.21456111111112,-74.01087222222222,3.561672211411713,45.502037037037034,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3526.HEIC,2026:09:21 10:09:51,-04:00,iPhone 17,40.21456388888889,-74.01086388888889,3.8298912379322987,37.99993896484375,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
